date,ticker,rank
2026-09-24,NVDA,1
2026-09-24,AAPL,2
2026-09-24,MSFT,3
2026-09-24,GOOGL,4
2026-09-24,AVGO,5
2026-09-24,META,6
2026-09-24,MU,7
2026-09-24,TSLA,8
2026-09-24,AMD,9
2026-09-24,LLY,10
2026-09-24,XOM,11
2026-09-24,JNJ,12
2026-09-24,INTC,13
2026-09-24,ABBV,14
2026-09-24,CSCO,15
2026-09-24,LRCX,16
2026-09-24,AMAT,17
2026-09-24,MRK,18
2026-09-24,CVX,19
2026-09-24,PG,20
2026-09-24,KO,21
2026-09-24,PANW,22
2026-09-24,HD,23
2026-09-24,CRWD,24
2026-09-24,SNDK,25
2026-09-24,GEV,26
2026-09-24,TMO,27
2026-09-24,TXN,28
2026-09-24,KLAC,29
