rank,ticker,price,score,squeeze_on,squeeze_days,squeeze_fired,fired_dir,bandwidth_pctile,hv_annual,hv_pctile,em_pct,horizon_days,down_1sigma,up_1sigma,down_2sigma,up_2sigma,lean,note,debt_ratio,cash_ratio,earnings_in_days,implied_move_pct,vol_verdict
1,GEV,933.85,60.7,False,0,False,,0.533,36.6,0.017,7.28,10,865.85,1001.85,797.85,1069.85,Bearish,,0.014963488561880272,0.0389409351704733,43,10.46,rich
2,HD,309.71,55.0,False,0,False,,0.275,22.1,0.292,4.41,10,296.05,323.37,282.4,337.02,Bullish,,0.20637140695265146,0.005184299837962248,70,7.15,rich
3,AAPL,301.54,51.3,False,0,False,,0.292,18.5,0.358,3.69,10,290.4,312.68,279.26,323.82,Neutral,,0.019127193123163175,0.01546843580989176,51,5.84,rich
4,ABBV,223.07,44.9,False,0,False,,0.858,21.8,0.15,4.34,10,213.38,232.76,203.69,242.45,Bullish,,0.1850002061934184,0.023827857969649993,51,5.64,rich
5,CVX,189.24,44.4,False,0,False,,0.283,24.6,0.508,4.9,10,179.97,198.51,170.7,207.78,Neutral,,0.12053385005384824,0.014134098904698921,52,6.01,rich
6,META,585.39,43.5,False,0,True,down,0.3,36.2,0.517,7.2,10,543.22,627.56,501.05,669.73,Neutral,,0.058392256377837126,0.05463107058081246,50,7.34,fair
7,PG,145.1,43.2,True,3,False,,0.092,24.3,0.975,4.83,10,138.09,152.11,131.07,159.13,Bullish,,0.10958337483322861,0.0364212435595961,50,5.0,fair
8,INTC,110.27,36.8,False,0,False,,0.392,79.9,0.6,15.91,10,92.72,127.82,75.18,145.36,Bearish,,0.08125156680872399,0.059162749152149544,44,17.12,fair
9,LLY,1149.15,32.2,False,0,False,,0.925,30.5,0.375,6.07,10,1079.41,1218.89,1009.67,1288.63,Bullish,,0.04232274025761235,0.005154454845378995,57,8.24,rich
10,TXN,290.9,31.8,False,0,False,,0.208,48.2,0.817,9.59,10,262.99,318.81,235.09,346.71,Bearish,,0.05306973584631495,0.019275079564940817,43,10.72,fair
11,GOOGL,363.31,31.4,False,0,False,,0.55,29.8,0.617,5.94,10,341.74,384.88,320.17,406.45,Bearish,,0.021639790405709045,0.028628551498428276,44,6.36,fair
12,GOOG,361.17,30.6,False,0,False,,0.55,29.0,0.633,5.78,10,340.28,382.06,319.39,402.95,Bearish,,0.02176800922637002,0.028798179717627295,44,6.37,fair
13,AMD,490.33,29.4,False,0,False,,0.55,70.0,0.658,13.95,10,421.92,558.74,353.5,627.16,Bullish,,0.004841580078838377,0.015442776366700176,56,14.69,fair
14,XOM,151.75,28.1,False,0,False,,0.417,31.3,0.767,6.24,10,142.28,161.22,132.81,170.69,Bearish,,0.07577316856630324,0.013410265842758583,52,6.69,fair
15,JNJ,232.16,19.3,False,0,False,,0.375,19.9,0.975,3.96,10,222.95,241.37,213.75,250.57,Bullish,,0.0983914621005242,0.03945714603508946,36,4.86,rich
16,MSFT,411.74,19.3,False,0,False,,0.625,35.2,0.825,7.02,10,382.85,440.63,353.97,469.51,Neutral,,0.04100982918809751,0.025576542452580748,50,,
17,TSLA,408.95,19.2,False,0,False,,0.408,47.2,0.958,9.41,10,370.46,447.44,331.98,485.92,Bearish,,0.01034570353102557,0.029131391911870374,43,,
18,LRCX,324.45,19.0,False,0,False,,0.675,63.7,0.8,12.69,10,283.28,365.62,242.12,406.78,Bullish,,0.00920394185738029,0.011709086617823305,50,,
19,KLAC,2108.06,18.4,False,0,False,,0.642,65.5,0.833,13.04,10,1833.14,2382.98,1558.23,2657.89,Bullish,,0.02231668254469548,0.018004597721631776,51,,
20,KO,79.54,17.5,False,0,False,,0.492,20.1,0.942,4.01,10,76.35,82.73,73.16,85.92,Bearish,,0.13046306154259948,0.04038344399484896,42,,
21,NVDA,208.64,13.3,False,0,False,,0.583,45.1,0.975,8.98,10,189.91,227.37,171.18,246.1,Bearish,,0.002535683715216365,0.010521879968238548,78,,
22,AVGO,396.6,11.3,False,0,False,,0.708,67.8,0.942,13.5,10,343.06,450.14,289.51,503.69,Bearish,,0.03456601220808469,0.010452826993593017,86,,
23,MRK,119.52,10.5,False,0,False,,0.667,32.4,0.983,6.46,10,111.8,127.24,104.08,134.96,Bullish,,0.1663892138257405,0.019316149697932685,56,,
24,AMAT,492.17,9.2,False,0,False,,0.683,63.3,1.0,12.61,10,430.11,554.23,368.06,616.28,Bullish,,0.01859950754460681,0.021089508239357506,65,,
25,QCOM,217.77,7.6,False,0,False,,0.792,99.6,0.967,19.84,10,174.57,260.97,131.37,304.17,Neutral,,0.06652737035216563,0.04269166488095757,50,,
26,MU,949.28,5.2,False,0,False,,0.833,109.1,0.992,21.74,10,742.89,1155.67,536.5,1362.06,Bullish,,0.010086541772017683,0.013627760042593012,15,,
27,CSCO,124.15,4.3,False,0,False,,0.867,57.4,0.992,11.44,10,109.94,138.36,95.74,152.56,Bullish,,0.06744132127880147,0.034005743869390086,64,,
28,ORCL,211.82,2.2,False,0,False,,0.925,74.9,1.0,14.92,10,180.22,243.42,148.63,275.01,Bullish,,0.26619156973044683,0.06423462950733118,1,,
29,IBM,280.82,0.5,False,0,False,,0.983,75.6,1.0,15.05,10,238.54,323.1,196.27,365.37,Bullish,,0.2644630192282409,0.04464295801480043,43,,
30,MRVL,288.85,0.0,False,0,False,,1.0,132.8,1.0,26.46,10,212.43,365.27,136.0,441.7,Bullish,,0.02088441797492519,0.0152109732817065,79,,
